Wavelength (Angstroms), Normalized intensity, Element
4225.244, 6737, 
4225.246, 6778, 
4225.248, 6818, 
4225.25, 6858, 
4225.252, 6900, 
4225.254, 6941, 
4225.256, 6982, 
4225.258, 7023, 
4225.26, 7064, 
4225.262, 7105, 
4225.264, 7144, 
4225.266, 7183, 
4225.268, 7222, 
4225.27, 7259, 
4225.272, 7291, 
4225.274, 7317, 
4225.276, 7341, 
4225.278, 7360, 
4225.28, 7376, 
4225.282, 7388, 
4225.284, 7394, 
4225.286, 7390, 
4225.288, 7388, 
4225.29, 7381, 
4225.292, 7368, 
4225.294, 7357, 
4225.296, 7341, 
4225.298, 7322, 
4225.3, 7298, 
4225.302, 7273, 
4225.304, 7245, 
4225.306, 7218, 
4225.308, 7192, 
4225.31, 7166, 
4225.312, 7141, 
4225.314, 7115, 
4225.316, 7092, 
4225.318, 7069, 
4225.32, 7043, 
4225.322, 7022, 
4225.324, 7004, 
4225.326, 6988, 
4225.328, 6972, 
4225.33, 6958, 
4225.332, 6946, 
4225.334, 6937, 
4225.336, 6928, 
4225.338, 6921, 
4225.34, 6912, 
4225.342, 6902, 
4225.344, 6889, 
4225.346, 6877, 
4225.348, 6863, 
4225.35, 6847, 
4225.352, 6825, 
4225.354, 6797, 
4225.356, 6767, 
4225.358, 6733, 
4225.36, 6691, 
4225.362, 6643, 
4225.364, 6590, 
4225.366, 6528, 
4225.368, 6459, 
4225.37, 6383, 
4225.372, 6300, 
4225.374, 6212, 
4225.376, 6116, 
4225.378, 6012, 
4225.38, 5903, 
4225.382, 5787, 
4225.384, 5666, 
4225.386, 5542, 
4225.388, 5410, 
4225.39, 5276, 
4225.392, 5133, 
4225.394, 4981, 
4225.396, 4829, 
4225.398, 4676, 
4225.4, 4512, 
4225.402, 4350, 
4225.404, 4187, 
4225.406, 4024, 
4225.408, 3856, 
4225.41, 3685, 
4225.412, 3514, 
4225.414, 3344, 
4225.416, 3178, 
4225.418, 3006, 
4225.42, 2834, 
4225.422, 2663, 
4225.424, 2500, 
4225.426, 2341, 
4225.428, 2183, 
4225.43, 2034, 
4225.432, 1897, 
4225.434, 1770, 
4225.436, 1652, 
4225.438, 1545, 
4225.44, 1449, 
4225.442, 1364, 
4225.444, 1288, 
4225.446, 1224, 
4225.448, 1173, 
4225.45, 1130, 
4225.452, 1094, 
4225.454, 1066, 
4225.456, 1044, 
4225.458, 1031, 
4225.46, 1026, 
4225.462, 1028, 
4225.464, 1039, 
4225.466, 1059, 
4225.468, 1088, 
4225.47, 1125, 
4225.472, 1174, 
4225.474, 1244, 
4225.476, 1333, 
4225.478, 1436, 
4225.48, 1555, 
4225.482, 1702, 
4225.484, 1874, 
4225.486, 2055, 
4225.488, 2252, 
4225.49, 2471, 
4225.492, 2707, 
4225.494, 2950, 
4225.496, 3188, 
4225.498, 3427, 
4225.5, 3674, 
4225.502, 3918, 
4225.504, 4152, 
4225.506, 4372, 
4225.508, 4585, 
4225.51, 4796, 
4225.512, 4985, 
4225.514, 5161, 
4225.516, 5334, 
4225.518, 5496, 
4225.52, 5647, 
4225.522, 5780, 
